zona_leste,zona_norte,zona_oeste,zona_sul,quartos,areas,precos
0,0,1,0,1.0986122886681098,5.802118375377063,8.922791623969637
0,0,1,0,0.6931471805599453,3.4657359027997265,7.919719760924575
0,1,0,0,1.0986122886681098,4.060443010546419,7.155396301896734
0,0,0,1,1.0986122886681098,4.418840607796598,7.467942332285852
0,0,1,0,1.3862943611198906,4.962844630259907,8.0959035329611
0,0,0,1,1.6094379124341003,5.303304908059076,8.006700845440367
0,1,0,0,1.0986122886681098,4.219507705176107,7.244941546337007
0,0,1,0,1.6094379124341003,6.111467339502679,9.61587214452889
0,0,1,0,1.0986122886681098,4.51085950651685,7.313886831633462
0,1,0,0,1.0986122886681098,4.189654742026425,7.170888478512505
0,0,0,1,1.6094379124341003,5.501258210544727,8.31164394850298
0,1,0,0,1.3862943611198906,4.990432586778736,8.665785595466064
0,0,0,1,0.6931471805599453,2.8903717578961645,7.280008252884188
0,0,1,0,1.3862943611198906,4.795790545596741,8.071218539969863
0,0,0,1,1.3862943611198906,4.276666119016055,7.939515260662406
0,1,0,0,1.0986122886681098,4.2626798770413155,7.252053951852814
0,0,0,1,1.0986122886681098,3.9318256327243257,7.099201743553092
0,1,0,0,0.6931471805599453,2.3978952727983707,13.592368256649284
0,0,0,1,0.6931471805599453,3.912023005428146,8.38958706681109
0,0,0,1,1.3862943611198906,5.14166355650266,9.018089684104343
0,1,0,0,0.6931471805599453,4.2626798770413155,7.0909098220799835
1,0,0,0,1.0986122886681098,5.017279836814924,7.313886831633462
0,0,0,1,1.0986122886681098,4.418840607796598,7.566311014772463
1,0,0,0,1.0986122886681098,4.7535901911063645,7.6953031349635665
0,1,0,0,1.0986122886681098,4.2626798770413155,7.3783837129967145
1,0,0,0,0.6931471805599453,3.828641396489095,6.90875477931522
0,0,0,1,1.0986122886681098,4.709530201312334,8.160803920954665
1,0,0,0,1.6094379124341003,5.568344503761097,8.193400231952097
0,1,0,0,1.3862943611198906,5.860786223465865,8.771990436532242
0,0,0,1,0.6931471805599453,3.58351893845611,7.989899374942939
0,0,0,1,0.6931471805599453,3.828641396489095,8.101980731853192
0,0,1,0,1.0986122886681098,4.23410650459726,7.901377353792616
1,0,0,0,1.6094379124341003,5.831882477283517,8.612685172875459
0,1,0,0,0.6931471805599453,4.2626798770413155,7.00397413672268
0,1,0,0,1.3862943611198906,4.663439094112067,7.640603826393634
0,1,0,0,0.6931471805599453,3.871201010907891,7.0909098220799835
0,0,1,0,1.3862943611198906,4.330733340286331,7.313886831633462
0,0,1,0,0.6931471805599453,2.772588722239781,13.652992804936396
0,0,1,0,1.0986122886681098,4.3694478524670215,8.45553053102413
0,0,1,0,0.6931471805599453,4.51085950651685,7.76004068088038
0,0,1,0,1.3862943611198906,4.174387269895637,7.852050207265889
0,1,0,0,1.3862943611198906,6.089044875446846,8.881975184248867
0,0,1,0,1.0986122886681098,4.2626798770413155,8.000014093678072
0,0,0,1,1.3862943611198906,4.189654742026425,7.937731775260109
0,1,0,0,1.9459101490553132,5.25227342804663,8.38958706681109
1,0,0,0,1.0986122886681098,5.313205979041787,8.412054873292933
0,0,0,1,1.3862943611198906,4.663439094112067,8.294299608857235
1,0,0,0,1.0986122886681098,4.3694478524670215,8.987321812850125
0,1,0,0,1.3862943611198906,4.110873864173311,7.501634457883413
0,0,1,0,1.3862943611198906,5.017279836814924,8.846640813100485
1,0,0,0,0.6931471805599453,3.713572066704308,13.710151153416941
1,0,0,0,1.0986122886681098,4.241326752570746,13.68767832281738
0,1,0,0,1.0986122886681098,4.290459441148391,7.741099090035366
1,0,0,0,1.0986122886681098,4.04305126783455,7.244941546337007
0,0,0,1,0.6931471805599453,4.59511985013459,8.517393171418904
0,1,0,0,1.3862943611198906,4.189654742026425,7.5126175446745105
0,1,0,0,1.0986122886681098,6.90875477931522,9.90353755128617
1,0,0,0,1.0986122886681098,3.828641396489095,7.00397413672268
